Frequency ;Azimuth ;S-param ;Amplitude ;Phase      ;
9.300     ;-90.0   ;S34     ;-80.6585  ;-160.96    ;
9.310     ;-90.0   ;S34     ;-80.6618  ;163.849    ;
9.320     ;-90.0   ;S34     ;-80.659   ;129.665    ;
9.330     ;-90.0   ;S34     ;-80.6734  ;95.2192    ;
9.340     ;-90.0   ;S34     ;-80.5155  ;60.7176    ;
9.350     ;-90.0   ;S34     ;-80.284   ;25.56      ;
9.360     ;-90.0   ;S34     ;-80.2227  ;-10.9122   ;
9.370     ;-90.0   ;S34     ;-80.3725  ;-46.5744   ;
9.380     ;-90.0   ;S34     ;-80.3638  ;-81.3152   ;
9.390     ;-90.0   ;S34     ;-80.3833  ;-115.21    ;
9.400     ;-90.0   ;S34     ;-80.0764  ;-150.205   ;
9.410     ;-90.0   ;S34     ;-79.9701  ;175.006    ;
9.420     ;-90.0   ;S34     ;-79.7886  ;138.452    ;
9.430     ;-90.0   ;S34     ;-79.6794  ;103.199    ;
9.440     ;-90.0   ;S34     ;-79.4834  ;66.9457    ;
9.450     ;-90.0   ;S34     ;-79.4091  ;31.2741    ;
9.460     ;-90.0   ;S34     ;-79.5025  ;-4.63902   ;
9.470     ;-90.0   ;S34     ;-79.3741  ;-39.1461   ;
9.480     ;-90.0   ;S34     ;-79.3854  ;-74.8079   ;
9.490     ;-90.0   ;S34     ;-79.1903  ;-109.724   ;
9.500     ;-90.0   ;S34     ;-78.9118  ;-145.621   ;
9.510     ;-90.0   ;S34     ;-78.6631  ;176.965    ;
9.520     ;-90.0   ;S34     ;-78.8224  ;138.675    ;
9.530     ;-90.0   ;S34     ;-78.9542  ;102.476    ;
9.540     ;-90.0   ;S34     ;-79.078   ;67.3775    ;
9.550     ;-90.0   ;S34     ;-78.984   ;32.3592    ;
9.560     ;-90.0   ;S34     ;-78.9614  ;-3.36929   ;
9.570     ;-90.0   ;S34     ;-79.0753  ;-39.3164   ;
